url,title,price,lat,lon,listing_id,section_alias,category_alias,rooms_structured,area_m2_structured,photo_count,is_estate_verified,is_booking_enabled,rental_period,Город,Жилой комплекс,Этаж,Площадь,Кухня студия,Состояние квартиры,Возможности размещения,Часы пребывания,Удобства,Ванная комната,Кому подойдет квартира,Безопасность,Новостройка,Застройщик,scraped_at,Год постройки,Санузел,Квартира меблирована,Балкон остеклён,Тип дома,Дверь,Интернет,Телефон,Парковка,Балкон
https://krisha.kz/a/show/696205359,"1-комнатная квартира · 40 м² · 4/9 этаж, Алихан Бокейхан 16/3",16000,51.105400978009,71.433040073942,696205359,arenda,kvartiry-posutochno,1,40,13,False,False,daily,"Астана, Есильский р-н",Asylym Park 1,4 из 9,40 м²,да,"свежий ремонт, новая мебель","2 гостя, 1 кровать, 1 диван","Заезд 14:00, выезд 12:00 (по договорённости)","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, кондиционер, лифт","ванна, полотенца, тапочки, фен, шампунь, гель для душа","некурящим, могу сдать на ночь, можно с детьми","электронные замки, паркинг, рядом есть парковка",False,NAK,2026-08-05T15:50:53+00:00,,,,,,,,,,
https://krisha.kz/a/show/1005672124,"1-комнатная квартира · 38 м² · 6/24 этаж, Туран — Сдается уютная 1-комнатная квартира - Левый берег",13000,51.118145520705,71.399056312929,1005672124,arenda,kvartiry-posutochno,1,38,4,False,False,daily,"Астана, Есильский р-н",Алтын Шар 1,6 из 24,38 м²,,,"3 гостя, 1 кровать, 1 диван","Заезд 14:00, выезд 12:00 (по договорённости)","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, лифт","ванна, полотенца, тапочки, фен, шампунь, гель для душа","могу сдать на ночь, можно с детьми","домофон, рядом есть парковка",False,Шар-Құрылыс,2026-08-05T15:50:53+00:00,,,,,,,,,,
https://krisha.kz/a/show/695768415,"1-комнатная квартира · 45 м² · 5/9 этаж, 306 50 — ЕК-32",12000,51.132534309536,71.398115688555,695768415,arenda,kvartiry-posutochno,1,45,4,False,False,daily,"Астана, Нура р-н",GreenLine.Headliner,5 из 9,45 м²,,"свежий ремонт, новая мебель","2 гостя, 1 кровать, 1 диван","Заезд 14:00, выезд 12:00 (по договорённости)","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, кондиционер, лифт","душевая кабина, полотенца, фен, шампунь, гель для душа","некурящим, могу сдать на ночь, можно с детьми","домофон, видеодомофон, электронные замки, рядом есть парковка",False,BI Group Север,2026-08-05T15:50:53+00:00,,,,,,,,,,
https://krisha.kz/a/show/1000690403,"1-комнатная квартира · 44 м² · 16/20 этаж, Кабанбай батыр 49а",17000,51.100621378414,71.405955793683,1000690403,arenda,kvartiry-posutochno,1,44,15,False,False,daily,"Астана, Есильский р-н",Alau,16 из 20,44 м²,,,"4 гостя, 1 кровать, 1 диван","Заезд 14:00, выезд 12:00","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, кондиционер, лифт","ванна, полотенца, тапочки, фен, шампунь, гель для душа","некурящим, могу сдать на ночь, можно с детьми","домофон, видеодомофон, электронные замки, паркинг, рядом есть парковка",False,АстанаТехСтрой,2026-08-05T15:50:53+00:00,,,,,,,,,,
https://krisha.kz/a/show/677440841,"1-комнатная квартира · 42 м² · 7 этаж, Асфендиярова 5",15000,51.133322,71.381175,677440841,arenda,kvartiry-posutochno,1,42,7,False,False,daily,"Астана, Есильский р-н",Sat City,7,42 м²,,свежий ремонт,1 гость,"Заезд 14:00, выезд 12:00 (по договорённости)",,,,"домофон, видеодомофон",False,SAT-NS,2026-08-05T15:50:53+00:00,2017,совмещенный,полностью,да,,,,,,
https://krisha.kz/a/show/682947258,"1-комнатная квартира · 50 м² · 6/10 этаж, Момышулы 15а",15000,51.138612,71.471626,682947258,arenda,kvartiry-posutochno,1,50,6,False,False,daily,"Астана, Алматы р-н",,6 из 10,50 м²,да,,"4 гостя, 1 кровать, 1 диван","Заезд 14:00, выезд 12:00","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, посудомоечная машина, лифт","ванна, полотенца, халат, тапочки, фен, шампунь, гель для душа","некурящим, могу сдать на ночь, можно с детьми","домофон, электронные замки",False,,2026-08-05T15:50:53+00:00,,,,,,,,,,
https://krisha.kz/a/show/1011081844,"3-комнатная квартира · 80 м² · 8/9 этаж, улица Култегин 2 — Хан шатыр. школа бином. Молдагалиева и Айтеке би",30000,51.124735559763,71.370900409794,1011081844,arenda,kvartiry-posutochno,3,80,12,False,False,daily,"Астана, Есильский р-н",,8 из 9,"80 м², Площадь кухни — 12 м²",,"свежий ремонт, новая мебель","8 гостей, 3 кровати, 2 дивана","Заезд 14:00, выезд 12:10 (по договорённости)","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, кондиционер, лифт","душевая кабина, ванна, полотенца, халат, тапочки, фен, гель для душа",можно с детьми,"домофон, видеодомофон, рядом есть парковка",False,,2026-08-05T15:50:53+00:00,,,,,,,,,,
https://krisha.kz/a/show/1014545309,"1-комнатная квартира · 40 м² · 7/9 этаж, Максут Нарикбаев 10",15000,51.142377946235,71.387337076008,1014545309,arenda,kvartiry-posutochno,1,40,11,False,False,daily,"Астана, Нура р-н",Энергетик,7 из 9,"40 м², Площадь кухни — 9 м²",,"не новый, но аккуратный и чистый ремонт","3 гостя, 1 кровать, 1 диван","Заезд 14:00, выезд 12:00 (по договорённости)","интернет, телевизор, стиральная машина, микроволновая печь, утюг, лифт","ванна, полотенца, тапочки, фен, шампунь, гель для душа","некурящим, могу сдать на ночь, можно с детьми","домофон, электронные замки, рядом есть парковка",False,СК Астанатрансстрой,2026-08-05T15:50:53+00:00,,,,,,,,,,
https://krisha.kz/a/show/688595204,"3-комнатная квартира · 120 м² · 12/18 этаж, Кошкарбаева 10 — Мечеть Хазрет Султан и Посольства Америки и ОАЭ",30000,51.126302,71.469048,688595204,arenda,kvartiry-posutochno,3,120,9,False,False,daily,"Астана, Алматы р-н",Хайвил Астана,12 из 18,120 м²,,"свежий ремонт, новая мебель","6 гостей, 2 кровати, 2 дивана","Заезд 13:00, выезд 12:00 (по договорённости)","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, кондиционер, лифт","душевая кабина, ванна, полотенца, халат, тапочки, фен, шампунь, гель для душа","некурящим, можно с детьми","домофон, видеодомофон, электронные замки, паркинг, рядом есть парковка",False,Highvill,2026-08-05T15:50:53+00:00,,,,,,,,,,
https://krisha.kz/a/show/1014561128,"2-комнатная квартира · 52 м² · 8/10 этаж, Турар Рыскулов 9а",27000,51.084807274514,71.419342332246,1014561128,arenda,kvartiry-posutochno,2,52,6,False,False,daily,"Астана, Есильский р-н",Nexpo Trend,8 из 10,"52 м², Площадь кухни — 12 м²",,"свежий ремонт, новая мебель","1 гость, 1 кровать, 1 диван","Заезд 14:00, выезд 12:00 (по договорённости)","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, кондиционер, лифт","душевая кабина, полотенца, халат, тапочки, шампунь, гель для душа","некурящим, могу сдать на ночь, можно с детьми","домофон, видеодомофон, электронные замки, рядом есть парковка",False,BI Group Север,2026-08-05T15:50:53+00:00,,,,,,,,,,
https://krisha.kz/a/show/684822858,"1-комнатная квартира · 38 м² · 5/9 этаж, Нурмагамбетова 27/1",13000,51.120824,71.482433,684822858,arenda,kvartiry-posutochno,1,38,10,False,False,daily,"Астана, Алматы р-н",Qazyna,5 из 9,38 м²,,"свежий ремонт, новая мебель",2 гостя,"Заезд 12:00, выезд 12:00","интернет, телевизор, стиральная машина, микроволновая печь, посуда, лифт","ванна, полотенца",некурящим,"домофон, электронные замки, паркинг",False,BAZIS–А,2026-08-05T15:50:53+00:00,,,,,,,,,,
https://krisha.kz/a/show/1011730530,"3-комнатная квартира · 70 м² · 4/18 этаж, Сауран 10/1",35000,51.119175910597,71.420874316479,1011730530,arenda,kvartiry-posutochno,3,70,11,False,False,daily,"Астана, Есильский р-н",Sauran Towers,4 из 18,"70 м², Площадь кухни — 10 м²",да,,"6 гостей, 2 кровати, 1 диван","Заезд 14:00, выезд 12:00","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, кондиционер, лифт","ванна, полотенца, халат, тапочки, фен, шампунь, гель для душа","некурящим, для вечеринок, могу сдать на ночь, можно с детьми","домофон, рядом есть парковка",False,BI Group Юг,2026-08-05T15:50:53+00:00,,,,,,,,,,
https://krisha.kz/a/show/699700962,"2-комнатная квартира · 65 м² · 12/12 этаж, Сыганак 54/1 — Сыганак сауран",25000,51.12334,71.419236,699700962,arenda,kvartiry-posutochno,2,65,6,False,False,daily,"Астана, Есильский р-н",Номад,12 из 12,"65 м², Площадь кухни — 12 м²",,"не новый, но аккуратный и чистый ремонт","6 гостей, 3 кровати, 1 диван","Заезд 14:00, выезд 12:00 (по договорённости)","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, кондиционер, лифт","душевая кабина, полотенца, тапочки, фен, шампунь, гель для душа","некурящим, могу сдать на ночь, можно с детьми","домофон, рядом есть парковка",False,BI Group Юг,2026-08-05T15:50:53+00:00,,,,,,,,,,
https://krisha.kz/a/show/661049556,"3-комнатная квартира · 90 м² · 3/9 этаж, Жансугурова 4/1 — Абылайхана",30000,51.158258,71.483376,661049556,arenda,kvartiry-posutochno,3,90,8,False,False,daily,"Астана, Алматы р-н",Этюд,3 из 9,90 м²,,,1 гость,"Заезд 14:00, выезд 12:00",,,,домофон,False,BI Group Юг,2026-08-05T15:50:53+00:00,2015,раздельный,полностью,да,кирпичный,металлическая,проводной,отдельный,рядом охраняемая стоянка,балкон
